datetime,zone,carbon_intensity
2026-08-27T17:00:00.000Z,DE,332
2026-08-27T18:00:00.000Z,DE,326
2026-08-27T19:00:00.000Z,DE,320
2026-08-27T20:00:00.000Z,DE,316
2026-08-27T21:00:00.000Z,DE,318
2026-08-27T22:00:00.000Z,DE,325
2026-08-27T23:00:00.000Z,DE,337
2026-08-28T00:00:00.000Z,DE,349
2026-08-28T01:00:00.000Z,DE,361
2026-08-28T02:00:00.000Z,DE,366
2026-08-28T03:00:00.000Z,DE,364
2026-08-28T04:00:00.000Z,DE,363
2026-08-28T05:00:00.000Z,DE,357
2026-08-28T06:00:00.000Z,DE,337
2026-08-28T07:00:00.000Z,DE,313
2026-08-28T08:00:00.000Z,DE,292
2026-08-28T09:00:00.000Z,DE,290
2026-08-28T10:00:00.000Z,DE,288
2026-08-28T11:00:00.000Z,DE,263
2026-08-28T12:00:00.000Z,DE,260
2026-08-28T13:00:00.000Z,DE,263
2026-08-28T14:00:00.000Z,DE,289
2026-08-28T15:00:00.000Z,DE,302
2026-08-28T16:00:00.000Z,DE,324
2026-08-28T17:00:00.000Z,DE,344
2026-08-28T18:00:00.000Z,DE,356
2026-08-28T19:00:00.000Z,DE,358
2026-08-28T20:00:00.000Z,DE,336
2026-08-28T21:00:00.000Z,DE,319
2026-08-28T22:00:00.000Z,DE,301
2026-08-28T23:00:00.000Z,DE,276
2026-08-29T00:00:00.000Z,DE,253
2026-08-29T01:00:00.000Z,DE,229
2026-08-29T02:00:00.000Z,DE,223
2026-08-29T03:00:00.000Z,DE,222
2026-08-29T04:00:00.000Z,DE,215
2026-08-29T05:00:00.000Z,DE,196
2026-08-29T06:00:00.000Z,DE,142
2026-08-29T07:00:00.000Z,DE,112
2026-08-29T08:00:00.000Z,DE,109
2026-08-29T09:00:00.000Z,DE,108
2026-08-29T10:00:00.000Z,DE,106
2026-08-29T11:00:00.000Z,DE,105
2026-08-29T12:00:00.000Z,DE,107
2026-08-29T13:00:00.000Z,DE,109
2026-08-29T14:00:00.000Z,DE,119
2026-08-29T15:00:00.000Z,DE,153
2026-08-29T16:00:00.000Z,DE,236
2026-08-29T17:00:00.000Z,DE,283
2026-08-29T18:00:00.000Z,DE,306
2026-08-29T19:00:00.000Z,DE,299
2026-08-29T20:00:00.000Z,DE,288
2026-08-29T21:00:00.000Z,DE,259
2026-08-29T22:00:00.000Z,DE,234
2026-08-29T23:00:00.000Z,DE,215
2026-08-30T00:00:00.000Z,DE,200
2026-08-30T01:00:00.000Z,DE,180
2026-08-30T02:00:00.000Z,DE,164
2026-08-30T03:00:00.000Z,DE,150
2026-08-30T04:00:00.000Z,DE,142
2026-08-30T05:00:00.000Z,DE,138
2026-08-30T06:00:00.000Z,DE,129
2026-08-30T07:00:00.000Z,DE,113
2026-08-30T08:00:00.000Z,DE,104
2026-08-30T09:00:00.000Z,DE,102
